10	3318
100	179362
101	148091
102	158744
103	164988
104	149170
105	157678
106	141448
107	139016
108	137135
109	154656
11	7295
110	141180
111	160051
112	152606
113	143213
114	140482
115	138022
116	140976
117	138626
118	138163
119	133224
12	2098
120	153107
121	148906
122	152276
123	135612
124	148709
125	148964
126	136939
127	161438
128	147972
129	163465
13	3265
130	172016
131	166648
132	190092
133	185414
134	202956
135	245149
136	543163
137	376416
138	330360
139	348515
14	4180
140	1856835
141	714053
142	221534
143	47711
144	17180
145	1295
146	638
147	487
148	54
149	49
15	4951
150	22
151	29
152	9
153	6
154	20
155	10
156	15
157	10
158	8
159	11
16	6579
160	15
161	19
162	26
163	6
164	6
165	2
166	2
167	6
168	2
169	5
17	7538
170	8
171	4
172	3
173	5
174	3
175	2
176	2
177	6
178	2
179	5
18	8969
180	5
181	3
182	6
183	3
184	12
185	8
186	6
187	4
188	1
189	3
19	10832
190	2
192	1
193	9
194	26
195	4
196	7
197	2
198	3
199	3
20	30847
200	2
201	2
202	3
203	6
204	1
205	4
206	7
207	3
208	1
209	44
21	14743
210	1
211	1
212	1
213	1
214	2
215	3
216	1
217	2
22	16429
220	1
221	2
222	2
224	3
225	2
226	1
227	1
228	5
229	1
23	19189
231	1
232	2
235	1
237	1
24	25651
240	1
242	1
243	2
244	1
245	2
248	1
25	25143
250	10
251	1
252	2
253	1
254	1
256	3
26	28612
260	1
261	1
262	1
263	1
264	1
265	1
268	3
269	1
27	31170
271	1
272	1
278	2
28	34427
281	1
287	2
29	37433
291	1
293	1
294	1
30	39092
303	1
305	1
308	1
309	1
31	43038
32	49465
325	1
33	49665
332	1
336	1
34	55828
344	1
349	1
35	55353
359	1
36	62030
37	68245
376	1
38	65626
39	65376
40	68655
41	72881
42	74403
426	1
43	76072
44	79834
45	81512
46	83389
47	87701
48	91214
483	1
49	92292
50	96550
51	98553
52	106831
53	132319
54	109075
543	1
547	1
55	108008
550	1
551	1
56	110115
57	120916
58	114867
59	118805
60	122000
61	121084
62	127108
63	127493
64	126142
65	129549
66	138047
67	130630
68	136716
69	140921
7	957
70	137193
71	137370
72	141629
73	146255
74	146086
75	141581
76	175948
77	145150
78	146642
79	159312
8	714
80	154609
81	151854
82	146310
83	141480
84	160287
85	148907
86	142201
87	144822
88	152228
89	143576
9	186
90	147603
91	151378
92	141252
93	144813
94	148423
95	152684
96	148893
97	160202
98	161659
99	158334
