2	3318
20	179362
21	778671
22	572255
3	237
22	6565
23	36599
24	27839
3	124
24	6561
25	37823
26	31619
3	143
26	8121
27	44408
28	78585
3	159
28	85968
29	45286
145<	22
3	209
145<	5
3	213
22	8060
23	32434
24	25014
3	83
24	7695
25	34105
26	28745
3	146
26	6797
27	44312
28	78174
3	126
28	100818
29	45634
145<	174
3	168
145<	7
3	199
22	7076
23	32943
24	24590
3	90
24	6378
25	36813
26	29910
3	122
26	8617
27	46018
28	82572
3	147
28	81593
29	46599
145<	39
3	209
145<	3
3	228
22	6812
23	33865
24	24312
3	134
24	6530
25	35302
26	27133
3	174
26	6780
27	43864
28	77923
3	180
28	73539
29	59447
145<	30
3	209
145<	4
3	1570
22	6192
23	30829
24	23811
3	256
24	10308
25	29360
26	23947
3	422
26	6591
27	32823
28	45768
3	502
28	59151
29	30569
145<	25
3	739
145<	6
3	263
22	6679
23	33041
24	27247
3	80
24	5544
25	32082
26	31994
3	136
26	7841
27	46047
28	74384
3	199
28	94171
29	48812
145<	25
3	185
145<	6
3	81
22	6127
23	29617
24	22830
3	18
24	5450
25	34365
26	29543
3	54
26	9011
27	54913
28	103324
3	49
28	159295
29	42425
145<	26
3	53
145<	4
3	205
22	6671
23	31327
24	26105
3	37
24	6020
25	31256
26	27943
3	78
26	7913
27	76860
28	64575
3	109
28	76878
29	50924
145<	20
3	133
145<	7
3	211
22	5362
23	40521
24	23363
3	54
24	5573
25	33827
26	27020
3	90
26	14682
27	40285
28	65674
3	108
28	83178
29	49849
145<	42
3	125
145<	5
3	267
22	6544
23	36538
24	27074
3	104
24	5892
25	40147
26	24454
3	132
26	7919
27	40792
28	77971
3	190
28	74373
29	42062
145<	300
3	177
145<	2
3	262
22	6424
23	36595
24	27267
3	124
24	6582
25	31146
26	26827
3	173
26	8803
27	50407
28	74997
3	225
28	86549
29	41115
145<	28
3	244
145<	5
3	169
22	5932
23	40471
24	27697
3	69
24	6388
25	36070
26	29948
3	101
26	8491
27	47074
28	77701
3	155
28	87297
29	41464
145<	33
3	180
145<	10
3	450
22	6674
23	30934
24	24273
3	116
24	5325
25	37565
26	25386
3	205
26	6446
27	43219
28	62994
3	309
28	70335
29	46490
145<	240
3	289
145<	7
3	50
22	4152
23	21164
24	16314
3	45
24	3625
25	21435
26	20060
3	39
26	6360
27	34425
28	69662
3	55
28	59071
29	22755
145<	20
3	53
145<	9
3	340
22	5843
23	35714
24	27370
3	35
24	6438
25	29440
26	28548
3	94
26	8436
27	40142
28	73092
3	127
28	89596
29	39776
145<	26
3	214
145<	5
3	350
22	6602
23	32512
24	25111
3	106
24	6116
25	33274
26	26160
3	194
26	9063
27	42215
28	69093
3	241
28	66813
29	43099
145<	31
3	283
145<	9
3	194
22	6232
23	35389
24	29319
3	78
24	9079
25	33280
26	39028
3	127
26	7248
27	42282
28	70152
3	116
28	90608
29	40959
145<	33
3	163
145<	6
3	213
22	6547
23	31252
24	24425
3	89
24	6443
25	33042
26	26015
3	137
26	7500
27	44701
28	81032
3	191
28	87672
29	59935
145<	40
3	233
145<	8
3	190
22	5555
23	32041
24	24007
3	117
24	7324
25	36871
26	25114
3	134
26	6012
27	40514
28	85243
3	244
28	83924
29	47415
145<	22
3	255
145<	8
3	853
22	6402
23	33614
24	25097
3	128
24	9619
25	33428
26	31724
3	252
26	6309
27	41477
28	59271
3	331
28	79380
29	50722
145<	14
3	370
145<	11
3	555
22	6329
23	33647
24	23140
3	140
24	6985
25	29131
26	23973
3	201
26	6292
27	41980
28	58058
3	318
28	71890
29	56474
145<	10
3	313
145<	7
3	195
22	8400
23	33327
24	24784
3	71
24	13232
25	34705
26	24723
3	111
26	6784
27	51501
28	68209
3	99
28	94736
29	49962
145<	28
3	147
145<	6
4	211
145<	2
4	255
145<	3
4	261
145<	4
4	328
145<	5
4	1248
145<	2
4	362
145<	1
4	1003
145<	4
4	674
145<	1
4	1710
145<	4
